No,Classification,label,notation,easting,northing,lat,long,easting_count,northing_count,coordinate,wiskiID,dateOpened,datum,boreholeDepth,aquifer,dipped,logged,amount_dipped,start_dipped,end_dipped,amount_logged,start_logged,end_logged,CHARACTER,FLOW_MECHA,Elevation,distance,Top aquifer
1895,Slow increasing,High Up Farm,8fa73630-d0c9-45ed-93a5-812a5841dc66,397335,358135,53.120372,-2.041267,1,1,,1445GW,12/22/1977,177.73,,,http://environment.data.gov.uk/hydrology/id/measures/8fa73630-d0c9-45ed-93a5-812a5841dc66-gw-dipped-i-mAOD-qualified,,718,12/22/1977,1/23/2024,,,,Highly productive aquifer,Significant intergranular flow,177.6971588,1702.950869,Triassic sandstones
1896,,Venson Farm,a153a03d-a54d-4a97-b5f6-88a1264c813e,630010,152670,51.226843,1.292921,1,1,,644922004,10/27/1988,28.37,,,http://environment.data.gov.uk/hydrology/id/measures/a153a03d-a54d-4a97-b5f6-88a1264c813e-gw-dipped-i-mAOD-qualified,,355,10/27/1988,12/1/2023,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,23.07609367,42480.78943,Lower Greensand
1897,Sudden upward change,Upper Trinity,8d14f88d-e323-48a2-bf57-438c6729a50a,408345,286235,52.473976,-1.878565,1,1,,1214GW,7/7/1971,110.04,,,http://environment.data.gov.uk/hydrology/id/measures/8d14f88d-e323-48a2-bf57-438c6729a50a-gw-dipped-i-mAOD-qualified,,937,7/7/1971,1/26/2024,,,,Low productivity aquifer,Flow is virtually all through fractures and other discontinuities,110.7910156,760.1865947,Triassic sandstones
1898,No trend,Penton Corner,8e108dfc-4a2e-46cb-b67c-e20665bb6928,432905,146255,51.21455,-1.530276,1,1,,141806919,7/22/1996,88.13,45,Lewes Nodular Chalk Member,http://environment.data.gov.uk/hydrology/id/measures/8e108dfc-4a2e-46cb-b67c-e20665bb6928-gw-dipped-i-mAOD-qualified,,334,7/22/1996,1/22/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,88.03330231,29471.00911,Chalk
1899,,Westlands,dae44533-b902-44f5-8792-25492acb9f37,537877,256043,52.185399,0.015364,1,1,,TL35_065,4/21/1983,28.83,,,http://environment.data.gov.uk/hydrology/id/measures/dae44533-b902-44f5-8792-25492acb9f37-gw-dipped-i-mAOD-qualified,,159,4/21/1983,12/11/2023,,,,Rocks with essentially no groundwater,,29.13401031,39540.20798,Lower Greensand
1900,,Bentley Bridge,782ff51c-cf2b-4b8c-a9a5-9055e890ca1b,348045,413715,53.617376,-2.786872,1,1,,SD41_28,1/18/1971,,,,http://environment.data.gov.uk/hydrology/id/measures/782ff51c-cf2b-4b8c-a9a5-9055e890ca1b-gw-dipped-i-mAOD-qualified,,345,1/18/1971,9/5/2023,,,,Highly productive aquifer,Significant intergranular flow,10.16862106,246.5254175,Triassic sandstones
1901,,Haymans Farm,17e3e2b7-d62d-4001-a9cc-f015ad94e13f,385685,376365,53.284049,-2.216164,1,1,,SJ87_34,3/5/1971,147.21,,,http://environment.data.gov.uk/hydrology/id/measures/17e3e2b7-d62d-4001-a9cc-f015ad94e13f-gw-dipped-i-mAOD-qualified,,247,3/5/1971,12/7/2021,,,,Low productivity aquifer,Flow is virtually all through fractures and other discontinuities,151.1404572,525.2094021,Triassic sandstones
1902,Slow decreasing,Saxby,6bd96499-3572-4c3a-b72d-c5637e88213d,498585,385795,53.359837,-0.520109,1,1,,1_587,12/16/1982,33.76,34,Lincolnshire Limestone,http://environment.data.gov.uk/hydrology/id/measures/6bd96499-3572-4c3a-b72d-c5637e88213d-gw-dipped-i-mAOD-qualified,,447,12/16/1982,1/3/2024,,,,Moderately productive aquifer,Flow is virtually all through fractures and other discontinuities,32.75593567,10401.76301,Oolites
1903,,Clapham Wood,9802c784-17ae-4544-8d69-b2030f542002,510555,106575,50.848139,-0.430949,1,1,,243101015,8/2/1979,52.19,83,Chalk Group (undivided),http://environment.data.gov.uk/hydrology/id/measures/9802c784-17ae-4544-8d69-b2030f542002-gw-dipped-i-mAOD-qualified,,468,8/2/1979,1/2/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,61.96684647,19008.32544,Chalk
1904,Slow increasing,Leechmore Cross,4712e3b5-269b-42ab-9029-79d26a216cdd,451085,80845,50.625076,-1.279154,1,1,,40101073,11/28/1983,59.19,110,Lower Greensand Group (undivided),http://environment.data.gov.uk/hydrology/id/measures/4712e3b5-269b-42ab-9029-79d26a216cdd-gw-dipped-i-mAOD-qualified,,335,11/28/1983,1/19/2024,,,,Highly productive aquifer,Significant intergranular flow,58.79798889,64447.91655,Lower Greensand
1905,,Caxton Hall,cf96f42e-1b35-4fc0-b850-46a35ae2e52d,530099,258300,52.207567,-0.097471,1,1,,TL35_002,9/29/1977,46.33,,,http://environment.data.gov.uk/hydrology/id/measures/cf96f42e-1b35-4fc0-b850-46a35ae2e52d-gw-dipped-i-mAOD-qualified,,219,9/29/1977,12/13/2023,,,,Rocks with essentially no groundwater,,45.94961548,32401.31421,Oolites
1906,No trend,Quarry Farm,1b044897-5f59-4026-9d50-a98fe625b7a2,358085,326575,52.835042,-2.623619,1,1,,0328GW,6/15/1971,94.97,,,http://environment.data.gov.uk/hydrology/id/measures/1b044897-5f59-4026-9d50-a98fe625b7a2-gw-dipped-i-mAOD-qualified,,565,6/15/1971,1/17/2024,,,,Highly productive aquifer,Significant intergranular flow,95.02059174,31.09809115,Triassic sandstones
1907,No trend,Wick Down,8b0dcf92-5644-41c9-a743-b72f0e0192f6,413185,174495,51.469266,-1.811566,1,1,,SU17_119,4/23/1982,266.26,151,Chalk,http://environment.data.gov.uk/hydrology/id/measures/8b0dcf92-5644-41c9-a743-b72f0e0192f6-gw-dipped-i-mAOD-qualified,,459,4/23/1982,1/18/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,265.6378174,18584.57741,Chalk
1908,Slow decreasing,Grange Farm Pimhill,8b09d48a-87ed-40b9-b039-0f6988e61606,348395,320155,52.776492,-2.766429,1,1,,3041GW,7/22/1996,111.26,,,http://environment.data.gov.uk/hydrology/id/measures/8b09d48a-87ed-40b9-b039-0f6988e61606-gw-dipped-i-mAOD-qualified,,397,7/22/1996,1/25/2024,,,,Highly productive aquifer,Significant intergranular flow,112.3860321,3451.265166,Triassic sandstones
1909,Slow increasing,Pack Lane Kempshott,235ba806-c525-433a-b72c-1945d924b24e,460505,150585,51.251229,-1.134436,1,1,,SU65_21,1/20/1971,107.69,20,Chalk,http://environment.data.gov.uk/hydrology/id/measures/235ba806-c525-433a-b72c-1945d924b24e-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/235ba806-c525-433a-b72c-1945d924b24e-gw-logged-i-subdaily-mAOD-qualified,583,1/20/1971,3/16/2023,17179,1/28/2022,1/14/2024,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,105.0551071,29291.25078,Chalk
1910,No trend,Oakhill,4cce511b-508d-4f29-9632-9f358228adea,365301,146439,51.216085,-2.498175,1,1,,91664338,2/5/1974,,,,http://environment.data.gov.uk/hydrology/id/measures/4cce511b-508d-4f29-9632-9f358228adea-gw-dipped-i-mAOD-qualified,,529,2/5/1974,12/18/2023,,,,Low productivity aquifer,Flow is virtually all through fractures and other discontinuities,239.2460632,2298.67524,Carboniferous Limestones
1911,No trend,Ringmere,a838e093-59d3-475f-848b-f95c09433976,591032,287808,52.4548,0.810037,1,1,,TL98_029,6/10/1974,32.95,,,http://environment.data.gov.uk/hydrology/id/measures/a838e093-59d3-475f-848b-f95c09433976-gw-dipped-i-mAOD-qualified,,609,6/10/1974,9/26/2023,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,32.89945221,63830.14237,Chalk
1912,,Branstone Cross,b43ba9ff-bd7b-4e75-8705-ceab9e671e9d,455905,83465,50.648193,-1.210625,1,1,,40101064,6/28/1983,52.92,110,Lower Greensand Group (undivided),http://environment.data.gov.uk/hydrology/id/measures/b43ba9ff-bd7b-4e75-8705-ceab9e671e9d-gw-dipped-i-mAOD-qualified,,421,6/28/1983,1/12/2024,,,,Highly productive aquifer,Significant intergranular flow,54.88728333,61633.53502,Lower Greensand
1913,,Speke,05bbef07-6ab4-40b9-9bd1-924dfd0a84e6,342440,385940,53.367165,-2.866488,1,1,,SJ48_92,3/8/1983,64.65,,,,http://environment.data.gov.uk/hydrology/id/measures/05bbef07-6ab4-40b9-9bd1-924dfd0a84e6-gw-logged-i-subdaily-mAOD-qualified,,,,123410,3/8/1983,9/18/2023,Highly productive aquifer,Significant intergranular flow,64.67658234,1718.305966,Triassic sandstones
1914,Slow decreasing,Abbots Farm,a33d4506-23d7-4f52-8c7d-8b269f1683d9,575580,261351,52.22237,0.569073,1,1,,TL76_006,6/17/1977,98.53,,,http://environment.data.gov.uk/hydrology/id/measures/a33d4506-23d7-4f52-8c7d-8b269f1683d9-gw-dipped-i-mAOD-qualified,,518,6/17/1977,1/4/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,97.85320282,63512.01023,Chalk
1915,No trend,Forest Farm White Post,1bf63f04-c785-4714-b0cc-efb9b043f82f,462375,357085,53.107308,-1.069711,1,1,,1781GW,12/9/1975,72.83,,,http://environment.data.gov.uk/hydrology/id/measures/1bf63f04-c785-4714-b0cc-efb9b043f82f-gw-dipped-i-mAOD-qualified,,753,12/9/1975,1/11/2024,,,,Highly productive aquifer,Significant intergranular flow,73.24222565,8037.554799,Triassic sandstones
1916,Slow increasing,Kynock Press,f48290a2-6d8b-4a2f-985a-7b6b0a90d890,407955,290685,52.513987,-1.884202,1,1,,1069GW,3/18/1986,93.4,,,http://environment.data.gov.uk/hydrology/id/measures/f48290a2-6d8b-4a2f-985a-7b6b0a90d890-gw-dipped-i-mAOD-qualified,,147,3/18/1986,1/26/2024,,,,Highly productive aquifer,Significant intergranular flow,93.50708771,2252.029759,Triassic sandstones
1917,,Barholm,2c4b2413-e35f-485e-9279-e4b284f25563,507805,310385,52.680438,-0.406787,1,1,,3_503,2/3/1997,0,52,Lincolnshire Limestone,,http://environment.data.gov.uk/hydrology/id/measures/2c4b2413-e35f-485e-9279-e4b284f25563-gw-logged-i-subdaily-mAOD-qualified,,,,326406,2/3/1997,5/26/2022,Rocks with essentially no groundwater,,22.82892227,4893.347008,Oolites
1918,,Tolpuddle Ball,e9cdf4c2-7321-4a77-9fa2-5a36e947b455,381393,94999,50.754284,-2.265132,1,1,,90189119,6/26/2008,,,,,http://environment.data.gov.uk/hydrology/id/measures/e9cdf4c2-7321-4a77-9fa2-5a36e947b455-gw-logged-i-subdaily-mAOD-qualified,,,,550791,6/26/2008,3/14/2024,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,64.87397766,8990.112674,Corallian Limestones
1919,Slow increasing,Knolls,14d0d52a-95d5-4529-9590-9af1236ce0cb_26111,342265,317455,52.751601,-2.856813,2,1,,26111,4/28/1993,80.6,,,,http://environment.data.gov.uk/hydrology/id/measures/14d0d52a-95d5-4529-9590-9af1236ce0cb_26111-gw-logged-i-subdaily-mAOD-qualified,,,,211703,4/28/1993,3/1/2024,Highly productive aquifer,Significant intergranular flow,81.05503845,2397.303209,Permian Sandstones
1920,No trend,Knolls 2,14d0d52a-95d5-4529-9590-9af1236ce0cb_26141,342265,317505,52.75205,-2.856822,2,1,,26141,9/30/1993,80.37,,,,http://environment.data.gov.uk/hydrology/id/measures/14d0d52a-95d5-4529-9590-9af1236ce0cb_26141-gw-logged-i-subdaily-mAOD-qualified,,,,199134,9/30/1993,3/1/2024,Highly productive aquifer,Significant intergranular flow,79.82911682,2356.096885,Permian Sandstones
1921,No trend,Oxtalls Farm,a9399bf1-1b76-4bb1-8415-eb2e79c19604,392285,201345,51.710778,-2.113052,2,1,,SO90_67,1/6/1983,176.29,129,Inferior Oolite,http://environment.data.gov.uk/hydrology/id/measures/a9399bf1-1b76-4bb1-8415-eb2e79c19604-gw-dipped-i-mAOD-qualified,,536,1/6/1983,1/19/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,175.8085175,580.8769538,Oolites
1922,No trend,Marsh Benham,d3e05235-64a2-4722-87cb-c600d7b745a6,442635,168294,51.412066,-1.388352,1,1,,SU46_3,1/3/1971,102.73,141,Chalk,http://environment.data.gov.uk/hydrology/id/measures/d3e05235-64a2-4722-87cb-c600d7b745a6-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/d3e05235-64a2-4722-87cb-c600d7b745a6-gw-logged-i-subdaily-mAOD-qualified,1727,1/3/1971,4/21/2023,167322,2/1/2005,3/14/2024,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,102.4285431,32302.92932,Chalk
1923,Slow decreasing,Jubilee Lodge,ad3a30bb-94c8-4b82-bef8-84354d3dd888,589082,282755,52.410105,0.778518,2,1,,TL88_066,4/29/1982,30.45,,,,http://environment.data.gov.uk/hydrology/id/measures/ad3a30bb-94c8-4b82-bef8-84354d3dd888-gw-logged-i-subdaily-mAOD-qualified,,,,4575,4/29/1982,11/13/2020,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,30.32757759,63557.72092,Chalk
1924,No trend,Shottesbrooke Park,342671cc-7801-4e3f-a85d-ff30db9de697,484125,177305,51.488441,-0.789753,1,1,,SU87_22,11/7/1977,37.16,24.4,Chalk,http://environment.data.gov.uk/hydrology/id/measures/342671cc-7801-4e3f-a85d-ff30db9de697-gw-dipped-i-mAOD-qualified,,350,11/7/1977,1/19/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,37.09844208,9922.601804,Chalk
1925,,Kenyon Lane,7e68291b-84f8-4cfa-b2ff-f671e6495d47,363110,396200,53.461234,-2.557077,1,1,,SJ69_138,5/9/1968,40.23,,,,http://environment.data.gov.uk/hydrology/id/measures/7e68291b-84f8-4cfa-b2ff-f671e6495d47-gw-logged-i-subdaily-mAOD-qualified,,,,140742,5/9/1968,9/17/2023,Highly productive aquifer,Significant intergranular flow,39.114151,124.1557972,Triassic sandstones
1926,,Springwell,2e93901c-c507-49f2-83a0-91401845536b,428441,558607,54.921336,-1.557792,1,1,,23-5-83,10/17/2000,,,,http://environment.data.gov.uk/hydrology/id/measures/2e93901c-c507-49f2-83a0-91401845536b-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/2e93901c-c507-49f2-83a0-91401845536b-gw-logged-i-subdaily-mAOD-qualified,267,10/17/2000,12/18/2023,354091,10/17/2000,10/23/2023,Moderately productive aquifer,Flow is virtually all through fractures and other discontinuities,144.0254211,2444.279338,Fell Sandstone& Border Group
1927,,Woods Copse Forest Side,410c0094-6abc-48bd-b0d7-e8b2d47cd0e8,474855,112455,50.90672,-0.936743,1,1,,143701274,1/22/1964,87.42,59.1,Tarrant Chalk Member,http://environment.data.gov.uk/hydrology/id/measures/410c0094-6abc-48bd-b0d7-e8b2d47cd0e8-gw-dipped-i-mAOD-qualified,,616,1/22/1964,1/29/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,85.85336304,29509.74965,Chalk
1928,,Twydales Nafferton,e54ee28c-5825-4584-86b2-2ed95ef7708d,504530,459412,54.02012,-0.406026,1,1,,TA05TDN0CC,1/22/1979,31.05,,CC,http://environment.data.gov.uk/hydrology/id/measures/e54ee28c-5825-4584-86b2-2ed95ef7708d-gw-dipped-i-mAOD-qualified,,545,1/22/1979,1/23/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,31.12011719,14416.72103,Chalk
1929,No trend,Berden Hall,e81b6424-57ce-49de-aff2-4bd6fb984c94,546694,229548,51.945088,0.132866,1,1,,TL42_8,7/2/1964,108.87,40.53,Chalk,http://environment.data.gov.uk/hydrology/id/measures/e81b6424-57ce-49de-aff2-4bd6fb984c94-gw-dipped-i-mAOD-qualified,,813,7/2/1964,11/10/2023,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,107.5247955,46539.0879,Lower Greensand
1930,,Wykeham 2,fb6aa169-18cc-4a18-b897-d76aa619e738,497498,482723,54.23093,-0.505798,1,1,,SE98WY02CO,5/14/1996,29.86,,CO,http://environment.data.gov.uk/hydrology/id/measures/fb6aa169-18cc-4a18-b897-d76aa619e738-gw-dipped-i-mAOD-qualified,,284,5/14/1996,12/11/2023,,,,Rocks with essentially no groundwater,,29.34140015,1000.409268,Corallian Limestones
1931,No trend,Sutton Scotney,27c4346a-533d-4499-af61-0dda6994d5c1,445705,139405,51.152081,-1.347899,1,1,,141804742,11/10/1986,83.72,38,Newhaven Chalk Member,http://environment.data.gov.uk/hydrology/id/measures/27c4346a-533d-4499-af61-0dda6994d5c1-gw-dipped-i-mAOD-qualified,,360,11/10/1986,1/31/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,83.71517181,38310.26729,Chalk
1932,No trend,Thelveton Hall,f29af75b-620e-42fb-8d3b-53f67b7ce17a,615579,280851,52.383226,1.166254,1,1,,TM18_506,10/11/1971,40.81,,,,http://environment.data.gov.uk/hydrology/id/measures/f29af75b-620e-42fb-8d3b-53f67b7ce17a-gw-logged-i-subdaily-mAOD-qualified,,,,7252,10/11/1971,2/27/2020,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,41.21478271,89343.95976,Lower Greensand
1933,No trend,Hazely Down Farm,ff07094c-55cb-4b4a-8467-36c369a0b10f,450255,125285,51.024742,-1.284811,1,1,,142206896,1/19/1993,58.88,48.87,Seaford Chalk Member,http://environment.data.gov.uk/hydrology/id/measures/ff07094c-55cb-4b4a-8467-36c369a0b10f-gw-dipped-i-mAOD-qualified,,358,1/19/1993,1/22/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,60.05947876,41738.75799,Chalk
1934,,Durweston,af6b896c-5b31-46f5-b09b-6382d5e13783,385555,109053,50.880783,-2.20669,1,1,,90180410,10/1/1957,,,,,http://environment.data.gov.uk/hydrology/id/measures/af6b896c-5b31-46f5-b09b-6382d5e13783-gw-logged-i-subdaily-mAOD-qualified,,,,2000000,10/1/1957,10/15/2014,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,50.10832214,4458.713884,Lower Greensand
1935,,Hook Bottom,fdc343d9-fabb-4742-a557-44488a06ea4c,474072,425765,53.723029,-0.878905,3,3,same,SE72HKS1SS,9/5/1994,3.89,,SS,http://environment.data.gov.uk/hydrology/id/measures/fdc343d9-fabb-4742-a557-44488a06ea4c-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/fdc343d9-fabb-4742-a557-44488a06ea4c-gw-logged-i-subdaily-mAOD-qualified,281,9/5/1994,7/28/2023,726282,12/19/2002,11/9/2023,,,4.937925816,11257.33033,Triassic sandstones
1936,No trend,Swarraton,c039d2e6-2bd8-43f3-8bf9-7f1001471b2e,456955,137055,51.129945,-1.187438,1,1,,142203239,10/24/1966,89.85,15.6,Seaford Chalk Member,http://environment.data.gov.uk/hydrology/id/measures/c039d2e6-2bd8-43f3-8bf9-7f1001471b2e-gw-dipped-i-mAOD-qualified,,518,10/24/1966,1/29/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,96.34292603,43026.12793,Chalk
1937,No trend,Ashill,b40df322-959a-43fb-a928-9f17b6aefbe2,308909,111826,50.898699,-3.296684,1,1,,ST01G026,5/15/1987,109.69,,,http://environment.data.gov.uk/hydrology/id/measures/b40df322-959a-43fb-a928-9f17b6aefbe2-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/b40df322-959a-43fb-a928-9f17b6aefbe2-gw-logged-i-subdaily-mAOD-qualified,784766,5/15/1987,2/27/2024,214944,10/24/2017,12/11/2023,Highly productive aquifer,Significant intergranular flow,109.975708,2140.748684,Triassic sandstones
1938,Slow decreasing,Bircham Newton,d069a6a2-06fe-407d-95ed-7e5eb09bcf35,577299,334187,52.875921,0.633092,1,1,,TF73_092,8/16/1994,74.24,,,http://environment.data.gov.uk/hydrology/id/measures/d069a6a2-06fe-407d-95ed-7e5eb09bcf35-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/d069a6a2-06fe-407d-95ed-7e5eb09bcf35-gw-logged-i-subdaily-mAOD-qualified,2895,8/16/1994,6/13/2023,107821,7/21/2011,11/8/2023,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,74.33886719,53945.66893,Chalk
1939,,Barrow Haven,26bf72ed-dd00-4c94-9ac8-036c502e5455,506975,423185,53.694149,-0.381334,1,1,,5_002,4/15/1977,2.22,,Lincolnshire Chalk,http://environment.data.gov.uk/hydrology/id/measures/26bf72ed-dd00-4c94-9ac8-036c502e5455-gw-dipped-i-mAOD-qualified,,484,4/15/1977,1/12/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,2.177226543,9902.783381,Chalk
1940,Slow increasing,Wintershill Chalk,885836f9-c09b-4612-87f1-925eb3fde5ad,453848,118214,50.96084,-1.234631,1,1,,142502963,5/10/2001,41.95,40.13,Lewes Nodular Chalk Member,http://environment.data.gov.uk/hydrology/id/measures/885836f9-c09b-4612-87f1-925eb3fde5ad-gw-dipped-i-mAOD-qualified,,181,5/10/2001,10/27/2023,,,,Rocks with essentially no groundwater,,40.08389282,46495.90944,Chalk
1941,No trend,Bartlow junction,98b37a90-c00a-4424-acf5-697e6b321183,558975,246733,52.096095,0.319366,1,1,,TL54_116,6/17/1981,61.21,,,http://environment.data.gov.uk/hydrology/id/measures/98b37a90-c00a-4424-acf5-697e6b321183-gw-dipped-i-mAOD-qualified,,493,6/17/1981,1/8/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,60.9175415,59741.40363,Chalk
1942,,Layton House,05c8505a-5ec3-4885-9249-2786b3e056df,437882,527173,54.638246,-1.414595,1,1,,25-4-20,1/9/1969,,,,http://environment.data.gov.uk/hydrology/id/measures/05c8505a-5ec3-4885-9249-2786b3e056df-gw-dipped-i-mAOD-qualified,,539,1/9/1969,1/23/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,92.59355164,22.77197473,Magnesian Limestone
1943,No trend,Lower Hare Park,9d8f2dca-aa2e-4782-864a-258d676ee0ff,559421,259098,52.207041,0.331669,1,1,,TL55_009,1/2/1969,43.61,,,http://environment.data.gov.uk/hydrology/id/measures/9d8f2dca-aa2e-4782-864a-258d676ee0ff-gw-dipped-i-mAOD-qualified,,626,1/2/1969,1/8/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,43.96789169,51792.66926,Chalk
1944,,Keepers Lodge Wherwell,a9b6e276-a0ae-45fc-82f2-3f7ea507d7e3,438157,142646,51.181774,-1.455469,1,1,,141803340,10/13/1967,84.65,36,Newhaven Chalk Member,http://environment.data.gov.uk/hydrology/id/measures/a9b6e276-a0ae-45fc-82f2-3f7ea507d7e3-gw-dipped-i-mAOD-qualified,,107,10/13/1967,10/25/2023,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,84.67828369,32273.99521,Chalk
1945,,Lakenheath,3cb3d09f-5bf7-460d-945b-051dee701e4f,570167,282683,52.415663,0.500692,1,1,,TL78_206,10/14/2010,0.95,,,,http://environment.data.gov.uk/hydrology/id/measures/3cb3d09f-5bf7-460d-945b-051dee701e4f-gw-logged-i-subdaily-mAOD-qualified,,,,92316,10/14/2010,8/26/2021,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,0.056406248,46376.30998,Chalk
1946,,Keelby,d466c4c3-dd1a-4862-9489-a093f221265a,517355,409105,53.565429,-0.229512,1,1,,5_114,10/30/1992,23.83,,Lincolnshire Chalk,http://environment.data.gov.uk/hydrology/id/measures/d466c4c3-dd1a-4862-9489-a093f221265a-gw-dipped-i-mAOD-qualified,,318,10/30/1992,1/3/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,19.98529053,7599.987326,Chalk
1947,Slow increasing,Winterbourne Houghton,d520b7ed-05d0-4609-b5e6-34b9f2019f93,381449,104179,50.836837,-2.264805,1,1,,90180117,8/27/2004,,,,http://environment.data.gov.uk/hydrology/id/measures/d520b7ed-05d0-4609-b5e6-34b9f2019f93-gw-dipped-i-mAOD-qualified,,212,8/27/2004,1/24/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,116.9338684,5119.130513,Chalk
1948,,Norton Top,6c99401a-1ef4-4dc6-a52d-a013d9770b67,548880,102726,50.804966,0.111545,1,1,,342604007,7/16/1981,116.04,150,Chalk Group (undivided),http://environment.data.gov.uk/hydrology/id/measures/6c99401a-1ef4-4dc6-a52d-a013d9770b67-gw-dipped-i-mAOD-qualified,,424,7/16/1981,1/26/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,115.2001038,9702.675177,Chalk
1949,No trend,Filston Farm,5c6c1ed3-3994-4b9b-8fc4-54d19b284b52,551601,160674,51.324964,0.174399,1,1,,441330002,7/9/1993,55.32,,,http://environment.data.gov.uk/hydrology/id/measures/5c6c1ed3-3994-4b9b-8fc4-54d19b284b52-gw-dipped-i-mAOD-qualified,,505,7/9/1993,12/4/2023,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,54.92785263,13364.94382,Chalk
1950,Slow decreasing,Watch Hill,1218633f-96e8-4c60-9ea1-5b26f8fcc223,461375,359085,53.125399,-1.084265,2,1,,1735GW,7/27/1941,106.26,,,http://environment.data.gov.uk/hydrology/id/measures/1218633f-96e8-4c60-9ea1-5b26f8fcc223-gw-dipped-i-mAOD-qualified,,1093,7/27/1941,1/8/2024,,,,Highly productive aquifer,Significant intergranular flow,106.7492981,6838.768578,Triassic sandstones
1951,,The Spinney,a5ab96ce-58e5-4994-b303-1c5caf14c604,616935,311005,52.653349,1.205803,1,1,,TG11_619,11/17/1952,17.92,,,http://environment.data.gov.uk/hydrology/id/measures/a5ab96ce-58e5-4994-b303-1c5caf14c604-gw-dipped-i-mAOD-qualified,,812,11/17/1952,1/16/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,17.54727745,87519.59483,Chalk
1952,No trend,Hixham Hall,0f2641fe-0f9d-4ac5-9452-28bcebd639e3,545340,226750,51.920304,0.112,1,1,,TL42_6,6/1/1964,111.34,74.68,Chalk,http://environment.data.gov.uk/hydrology/id/measures/0f2641fe-0f9d-4ac5-9452-28bcebd639e3-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/0f2641fe-0f9d-4ac5-9452-28bcebd639e3-gw-logged-i-subdaily-mAOD-qualified,644,6/1/1964,8/22/2022,35492,2/5/2020,2/23/2024,Low productivity aquifer,Significant intergranular flow,110.9561157,43896.70377,Chalk
1953,,Upper Bevendean,8df4a338-7233-4430-8723-4ed00ee2b22d,534991,106689,50.843983,-0.083987,1,1,,242601067,7/6/1979,85.92,119,Chalk Group (undivided),http://environment.data.gov.uk/hydrology/id/measures/8df4a338-7233-4430-8723-4ed00ee2b22d-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/8df4a338-7233-4430-8723-4ed00ee2b22d-gw-logged-i-subdaily-mAOD-qualified,336,7/6/1979,2/8/2024,134064,10/23/2008,2/8/2024,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,86.63684082,12568.47901,Chalk
