No,label,dipped,logged,easting,northing,lat,long,Elevation,data amount (daily sample),data amount (annual sample),obsrevation start year,obsrevation end year,obsrevation span,mean_depth,max_depth,min_depth
1568,Everleigh,,http://environment.data.gov.uk/hydrology/id/measures/33e36d23-a59a-43aa-99eb-bf7ddd943814-gw-logged-i-subdaily-mAOD-qualified,419540,154410,51.288489,-1.721176,158.4020691,5756,19,2005,2023,19,33.31037179,37.76852743,23.6808191
1569,Willowgarth Pond,http://environment.data.gov.uk/hydrology/id/measures/82e74547-4868-4894-bbc3-fb1389b743a7-gw-dipped-i-mAOD-qualified,,438864,480446,54.21826,-1.405488,27.51885605,289,26,1991,2022,32,2.172240133,2.42885605,1.97885605
1570,South Stoke,http://environment.data.gov.uk/hydrology/id/measures/64b05c19-8bf0-45eb-83ba-7962e64b47df-gw-dipped-i-mAOD-qualified,,502455,109865,50.879204,-0.545047,21.70669174,483,46,1976,2023,48,20.61145364,21.22669174,19.52669174
1571,Lindholme Hall,http://environment.data.gov.uk/hydrology/id/measures/59619d61-c4ad-4a0e-9182-70c16b00229e-gw-dipped-i-mAOD-qualified,,470905,406305,53.548589,-0.93132,3.7271595,351,32,1992,2023,32,3.968113916,5.2771595,2.9371595
1572,Braydon Hook,http://environment.data.gov.uk/hydrology/id/measures/64e788c1-aa2f-4812-80ea-625857b6f80a-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/64e788c1-aa2f-4812-80ea-625857b6f80a-gw-logged-i-subdaily-mAOD-qualified,421605,167355,51.40481,-1.690783,150.3921814,1806,49,1968,2022,55,21.23954829,24.2821814,16.5221814
1573,Carnaby,http://environment.data.gov.uk/hydrology/id/measures/92baf58f-79a7-4eaa-8385-bae72b0ae1c9-gw-dipped-i-mAOD-qualified,,514618,465494,54.072618,-0.249832,25.43554688,321,36,1978,2023,46,15.91554688,17.62554688,12.09554688
1574,Almonds Farm,http://environment.data.gov.uk/hydrology/id/measures/5597af2a-2232-4750-83f8-0700bf6e1319-gw-dipped-i-mAOD-qualified,,354245,435305,53.811993,-2.696353,54.66328049,204,37,1973,2022,50,30.81935892,32.09328049,29.29328049
1575,Coln St Aldwyn,http://environment.data.gov.uk/hydrology/id/measures/6100108c-fca1-488a-b801-83716a2bed50-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/6100108c-fca1-488a-b801-83716a2bed50-gw-logged-i-subdaily-mAOD-qualified,414467,206627,51.75814,-1.791794,131.9916687,8279,41,1983,2023,41,29.38377859,34.2688562,17.8006687
1576,Ashton Keynes,http://environment.data.gov.uk/hydrology/id/measures/0a9fd349-f3b6-4d37-b192-660f46e82a21-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/0a9fd349-f3b6-4d37-b192-660f46e82a21-gw-logged-i-subdaily-mAOD-qualified,406390,193184,51.637421,-1.909057,88.42430115,6623,42,1981,2023,43,1.591737747,6.94430115,-0.778115517
1577,Bentleigh Farm,http://environment.data.gov.uk/hydrology/id/measures/010cddc7-81af-4c7b-87b0-74db6dc88df0-gw-dipped-i-mAOD-qualified,,421849,132536,51.091719,-1.689389,80.65319061,102,42,1967,2023,57,9.668974924,19.06319061,-0.65680939
1578,West Tofts Road,,http://environment.data.gov.uk/hydrology/id/measures/8e6beb8f-e6c2-4e1d-9580-68b5f95e6b43-gw-logged-i-subdaily-mAOD-qualified,585130,290765,52.483384,0.724925,33.67179489,1912,22,1998,2019,22,7.582570157,9.50179489,4.45179489
1579,Dean Farm Kilmeston,http://environment.data.gov.uk/hydrology/id/measures/f4bf6e7a-06d8-4841-a816-55bbcf4c9d9d-gw-dipped-i-mAOD-qualified,,459398,125850,51.028952,-1.154367,97.71870422,550,50,1969,2023,55,24.33028604,27.77870422,18.20870422
1580,Booton Common,http://environment.data.gov.uk/hydrology/id/measures/070a44d8-4109-43c5-a525-1f6bd5a1c60f-gw-dipped-i-mAOD-qualified,,611480,323030,52.76344,1.133016,24.48872757,129,13,2002,2022,21,0.490650051,0.64872757,0.02372757
1581,Brook Farm Thurrock,http://environment.data.gov.uk/hydrology/id/measures/1dff4067-bf17-4077-90db-42c921ee8239-gw-dipped-i-mAOD-qualified,,565488,180135,51.495931,0.382602,16.35117149,354,40,1974,2023,50,13.57868561,17.15117149,6.13117149
1582,Folly Farm,http://environment.data.gov.uk/hydrology/id/measures/4aef88d7-3e01-49b3-b5e8-8afcc01c1e8c-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/4aef88d7-3e01-49b3-b5e8-8afcc01c1e8c-gw-logged-i-subdaily-mAOD-qualified,441303,133161,51.096272,-1.411547,58.22529984,3461,37,1986,2023,38,10.62677589,17.23529984,0.58529984
1583,Dudswell,http://environment.data.gov.uk/hydrology/id/measures/58cd56cc-2a41-4037-b7d7-a3b49a640ac5-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/58cd56cc-2a41-4037-b7d7-a3b49a640ac5-gw-logged-i-subdaily-mAOD-qualified,496590,209682,51.777475,-0.601354,113.832016,3734,30,1993,2023,31,1.413555948,5.562016,-0.407984
1584,Northington Down Farm,http://environment.data.gov.uk/hydrology/id/measures/af0e622d-84f4-4c5d-a9e6-70ab16e7b816-gw-dipped-i-mAOD-qualified,,455355,137395,51.133159,-1.210249,117.5207748,268,23,2001,2023,23,41.51293898,43.9307748,38.8307748
1585,Court House Green,http://environment.data.gov.uk/hydrology/id/measures/bd94c08c-097d-4f61-8467-12a87d183ae6-gw-dipped-i-mAOD-qualified,,435245,281065,52.426431,-1.483096,93.98215485,345,30,1993,2022,30,11.62477804,16.31215485,10.04215485
1586,Bole Ings,http://environment.data.gov.uk/hydrology/id/measures/5cc6623a-bf5a-4364-991a-654946c8a2e1-gw-dipped-i-mAOD-qualified,,480505,388525,53.387428,-0.791013,3.909257889,327,31,1988,2022,35,38.82540468,48.50925789,22.63925789
1587,Frampton House 2,http://environment.data.gov.uk/hydrology/id/measures/d012e909-5e20-4381-82f6-5c0ac3de499f-gw-dipped-i-mAOD-qualified,,362602,94677,50.750479,-2.531472,79.21755219,159,16,2008,2023,16,1.931514454,3.84755219,0.15755219
1588,Tank Hall,http://environment.data.gov.uk/hydrology/id/measures/7f8cf983-71f2-46ab-b4ec-ce597d951fb4-gw-dipped-i-mAOD-qualified,,573361,265052,52.256312,0.538518,57.43238068,256,24,1998,2023,26,26.11734162,31.59238068,20.31238068
1589,Brassington,http://environment.data.gov.uk/hydrology/id/measures/6700d605-19c5-40e5-8bf9-d4a152fb1ce5-gw-dipped-i-mAOD-qualified,,422285,354145,53.084053,-1.668743,257.0101929,768,48,1975,2022,48,86.59508873,98.9801929,72.6501929
1590,Herdswick Farm,http://environment.data.gov.uk/hydrology/id/measures/05e3245e-3ba8-4187-9034-74388d650980-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/05e3245e-3ba8-4187-9034-74388d650980-gw-logged-i-subdaily-mAOD-qualified,417715,175565,51.478764,-1.746297,174.7279053,7131,40,1983,2022,40,28.50882874,40.8179053,12.59419697
1591,Vinney Ridge,http://environment.data.gov.uk/hydrology/id/measures/df5eca2b-73c0-4aca-8619-6ce9470a6cb4-gw-dipped-i-mAOD-qualified,,426035,105775,50.850909,-1.631527,32.71561813,214,23,2001,2023,23,1.306833083,2.10561813,1.06561813
1592,Moor House Farm,,http://environment.data.gov.uk/hydrology/id/measures/5aff3c1f-840b-4e48-9a0e-7edff8c59e89-gw-logged-i-subdaily-mAOD-qualified,303940,507036,54.449589,-3.482976,71.4421463,9857,42,1980,2023,44,18.47970843,21.78297963,15.0016463
1593,Peplow Hall,http://environment.data.gov.uk/hydrology/id/measures/e0eff5b9-8f17-4471-9a22-c655ad09137d-gw-dipped-i-mAOD-qualified,,364125,324875,52.820198,-2.533779,56.70652008,187,29,1982,2016,35,1.135610989,1.90652008,-0.50347992
1594,East Wick Farm,http://environment.data.gov.uk/hydrology/id/measures/973cca71-0fe9-48aa-b7eb-9497510f6383-gw-dipped-i-mAOD-qualified,,418765,164245,51.376947,-1.731774,164.9502258,768,40,1983,2023,41,31.02461382,33.2202258,27.7102258
1596,Calbourne Newbarn Farm,http://environment.data.gov.uk/hydrology/id/measures/e884bb25-c336-46f5-8d3a-3707789060e0-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/e884bb25-c336-46f5-8d3a-3707789060e0-gw-logged-i-subdaily-mAOD-qualified,443060,87040,50.681429,-1.39188,65.59523773,4771,45,1977,2023,47,13.75759655,17.13523773,5.19086273
1597,Uppark Deerkeepers,http://environment.data.gov.uk/hydrology/id/measures/f023c35e-8d18-4046-a9f7-882494a83344-gw-dipped-i-mAOD-qualified,,477825,116540,50.943054,-0.89364,104.9848862,450,47,1975,2023,49,35.82921953,37.0348862,32.3348862
1598,Fulbourn Valley Farm,http://environment.data.gov.uk/hydrology/id/measures/33bd4b8a-0f31-4ea2-8e96-9b829deef938-gw-dipped-i-mAOD-qualified,,552084,253436,52.158248,0.221846,29.11527443,170,19,1998,2019,22,16.35868619,17.94527443,13.49527443
1599,Stockley Park,http://environment.data.gov.uk/hydrology/id/measures/338c17e8-9241-4109-b972-33a96ab2c6b5-gw-dipped-i-mAOD-qualified,,507540,180393,51.512233,-0.45169,36.85721207,248,29,1993,2023,31,14.07503465,24.93721207,8.97721207
1600,Conyer Farm,http://environment.data.gov.uk/hydrology/id/measures/134be9b6-a321-40db-8e4b-4807ca17ad6e-gw-dipped-i-mAOD-qualified,,596989,163608,51.33742,0.826676,1.602808595,435,40,1983,2023,41,0.674969515,1.192808595,0.122808595
1601,Broughton Hill,http://environment.data.gov.uk/hydrology/id/measures/c5ef0234-8618-48d9-829e-d125b4d38921-gw-dipped-i-mAOD-qualified,,430935,131365,51.080774,-1.559754,94.96951294,226,21,2003,2023,21,58.23261029,61.39951294,50.26951294
1602,Wykeham 1,http://environment.data.gov.uk/hydrology/id/measures/1a831f5f-d451-4ed2-887a-5d2e4a5aa61a-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/1a831f5f-d451-4ed2-887a-5d2e4a5aa61a-gw-logged-i-subdaily-mAOD-qualified,496929,483556,54.238522,-0.514255,47.37896729,8031,28,1995,2022,28,17.1173466,19.38563396,13.29613396
1603,Berwick Down,,http://environment.data.gov.uk/hydrology/id/measures/d79d19a9-3c20-4bb9-88cc-bbf30a7fc2a5-gw-logged-i-subdaily-mAOD-qualified,405300,140505,51.163765,-1.925577,138.5922852,5369,16,2007,2022,16,64.96394568,71.06561853,50.94405603
1604,Ravensbourne,http://environment.data.gov.uk/hydrology/id/measures/c9fc9e3d-5dc6-4675-80e8-fffb7e139717-gw-dipped-i-mAOD-qualified,,538905,170295,51.41466,-0.003934,31.82238388,163,23,1986,2022,37,2.117353205,5.50238388,0.12238388
1605,Eastridge Farm,http://environment.data.gov.uk/hydrology/id/measures/0d7808d3-4a5b-4dfd-b71d-07dfa12e70a2-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/0d7808d3-4a5b-4dfd-b71d-07dfa12e70a2-gw-logged-i-subdaily-mAOD-qualified,429938,172448,51.450226,-1.57056,171.8453522,1127,50,1972,2022,51,64.01224372,66.1053522,61.3753522
1606,Preston Forty,http://environment.data.gov.uk/hydrology/id/measures/6f3223f3-80f1-4ea7-8657-5859838f68e9-gw-dipped-i-mAOD-qualified,,403950,200739,51.705371,-1.944231,107.4232254,271,27,1997,2023,27,7.546841636,10.0732254,4.9032254
1607,Upperton Croft,http://environment.data.gov.uk/hydrology/id/measures/13c02973-8551-4e2b-a597-010d90fd8dc4-gw-dipped-i-mAOD-qualified,,465795,193765,51.638845,-1.050635,103.7586441,466,47,1975,2023,49,10.87263552,14.5886441,4.6686441
1608,Egbury,http://environment.data.gov.uk/hydrology/id/measures/9c60e973-79d5-4c3d-a58d-360af74ef171-gw-dipped-i-mAOD-qualified,,443955,152555,51.270454,-1.371311,123.2192535,384,42,1967,2023,57,38.80849829,44.8592535,26.4492535
1609,Wilsford Heath,http://environment.data.gov.uk/hydrology/id/measures/79656fa0-b7d2-4428-9b62-1037f30f54c3-gw-dipped-i-mAOD-qualified,,498295,341675,52.963432,-0.537999,88.3250351,631,48,1972,2023,52,26.93287979,28.1950351,25.0750351
1610,Daneswell Farm,http://environment.data.gov.uk/hydrology/id/measures/f7a2a82d-0cc3-4f18-83d7-8f879acbdde6-gw-dipped-i-mAOD-qualified,,358825,327565,52.843998,-2.612761,118.6821289,537,40,1981,2022,42,40.76041257,42.3221289,38.4621289
1611,Bussels,,http://environment.data.gov.uk/hydrology/id/measures/3701a352-3357-4684-a8b8-bbeb23647358-gw-logged-i-subdaily-mAOD-qualified,295282,98708,50.778462,-3.486643,26.21611786,7507,23,1999,2021,23,2.221174362,3.069794943,0.700972027
1612,Bulls Hall Farm,http://environment.data.gov.uk/hydrology/id/measures/4e42fe0f-a10f-464b-adf0-67c105f6297b-gw-dipped-i-mAOD-qualified,,611710,273060,52.314795,1.104587,43.99511719,285,31,1989,2023,35,10.46831017,11.30511719,9.48511719
1613,Shifnal Weston Heath,http://environment.data.gov.uk/hydrology/id/measures/480679db-497c-40a2-9f5d-35d71cd5b295-gw-dipped-i-mAOD-qualified,,377235,313325,52.717087,-2.338439,128.0071411,524,41,1981,2021,41,24.0701182,27.2371411,20.2271411
1614,Highlands Farm,http://environment.data.gov.uk/hydrology/id/measures/9c377f10-fd67-42ae-be8f-2170a54b2664-gw-dipped-i-mAOD-qualified,,552369,169622,51.405157,0.189244,54.47703171,596,56,1967,2023,57,30.55570621,32.55703171,27.56703171
1615,Chester Zoo,,http://environment.data.gov.uk/hydrology/id/measures/6aa24eb7-441a-4e3e-8226-2041a6cdc1b3-gw-logged-i-subdaily-mAOD-qualified,341244,370603,53.22919,-2.881615,35.83893204,6809,22,1998,2022,25,24.30304046,25.27652028,23.21601537
1616,Primrose Hill farm,http://environment.data.gov.uk/hydrology/id/measures/796af532-eab3-4922-93a7-f49368056388-gw-dipped-i-mAOD-qualified,,615270,253471,52.137567,1.144274,57.96472549,330,34,1983,2023,41,25.9358164,27.00472549,25.25472549
1618,Newbridge Quarry,,http://environment.data.gov.uk/hydrology/id/measures/da3117b8-3c47-4d3a-915a-ef1058048ced-gw-logged-i-subdaily-mAOD-qualified,480153,486151,54.264735,-0.770894,68.09004211,3870,12,2011,2022,12,31.00698219,32.17254211,28.00125044
1619,Bolas House 1,http://environment.data.gov.uk/hydrology/id/measures/a1dce0d3-8d7a-4035-bc46-17435f631558-gw-dipped-i-mAOD-qualified,,364885,321905,52.79355,-2.522182,56.98947906,259,34,1983,2018,36,2.597201068,3.47947906,0.73947906
1620,Old Primary School South Creake,http://environment.data.gov.uk/hydrology/id/measures/e4781dbb-a5c8-4e56-8b40-18e5b53608f2-gw-dipped-i-mAOD-qualified,,585785,336065,52.889922,0.760103,23.45249939,5473,22,1994,2023,30,2.825118466,5.48624939,-0.743083943
1621,Spittle house,http://environment.data.gov.uk/hydrology/id/measures/1195e380-62a2-48ae-9693-4591841697b3-gw-dipped-i-mAOD-qualified,,389765,377685,53.296009,-2.155011,96.47988129,338,37,1970,2020,51,2.940975965,5.00988129,1.90988129
1622,Langmere,http://environment.data.gov.uk/hydrology/id/measures/04619ece-2bc3-4bbb-967f-9e0089cdf65d-gw-dipped-i-mAOD-qualified,,590389,288367,52.460044,0.800905,33.02160263,211,26,1998,2023,26,4.335640545,8.82160263,-0.51839737
1623,Notgrove Road Cold Aston,http://environment.data.gov.uk/hydrology/id/measures/f89d8bb3-224c-4f38-9950-081c124a386c-gw-dipped-i-mAOD-qualified,,412380,219920,51.877705,-1.82156,218.4571838,296,26,1998,2023,26,76.62390677,81.6571838,70.6271838
1626,Cromer,http://environment.data.gov.uk/hydrology/id/measures/c6b2ef36-7e39-4f09-b98d-7e06e01d305e-gw-dipped-i-mAOD-qualified,,529531,228075,51.936108,-0.11724,87.6820755,542,29,1995,2023,29,3.387130851,6.9720755,0.8720755
1627,Ivy House Haugham,http://environment.data.gov.uk/hydrology/id/measures/3d09f20a-b6d0-43e8-84bb-80a4445d9c88-gw-dipped-i-mAOD-qualified,,533835,381505,53.313561,0.00744,96.54906464,1011,52,1968,2023,56,63.22881736,69.78906464,55.92906464
1628,Beacon Hill Exton,http://environment.data.gov.uk/hydrology/id/measures/651fbb84-65e5-464d-8590-f0d24eb29c23-gw-dipped-i-mAOD-qualified,,459855,122765,51.001167,-1.148359,185.8603058,280,25,1999,2023,25,87.03934151,93.0503058,73.7903058
1629,Bere Down,http://environment.data.gov.uk/hydrology/id/measures/2b5ffb11-7685-423b-8f00-366510cdcdca-gw-dipped-i-mAOD-qualified,,384631,96943,50.771861,-2.219312,86.2822876,187,19,1991,2023,33,34.47661915,38.3922876,29.2722876
1630,Harwood Avenue Branston,http://environment.data.gov.uk/hydrology/id/measures/91d44419-90bc-419d-95e7-a06fcf623da1-gw-dipped-i-mAOD-qualified,,422455,321655,52.791991,-1.668443,47.8771553,321,28,1994,2022,29,2.127529132,2.9271553,1.1071553
1631,Chescombe Farm,,http://environment.data.gov.uk/hydrology/id/measures/2914f46a-5d63-4c51-93cd-f9496e37307f-gw-logged-i-subdaily-mAOD-qualified,382145,100549,50.804216,-2.254743,102.4262085,4919,15,2008,2022,15,34.34012481,41.200896,22.23235433
1632,Rough Close,http://environment.data.gov.uk/hydrology/id/measures/3cadbba8-7fa6-4159-abc6-dee4af80d511-gw-dipped-i-mAOD-qualified,,392725,339005,52.948367,-2.109711,206.7566223,835,47,1972,2022,51,22.17964625,26.8366223,15.0366223
1633,Darfield Farm Nether Wallop,http://environment.data.gov.uk/hydrology/id/measures/006807ec-a7a4-406e-99b6-d657b0fcf185-gw-dipped-i-mAOD-qualified,,431755,135155,51.114808,-1.547716,76.06423187,202,45,1967,2023,57,33.5005685,36.83423187,25.73423187
1634,Pinsley Lodge,http://environment.data.gov.uk/hydrology/id/measures/553c9883-8fc0-44be-8d03-5191641876b2-gw-dipped-i-mAOD-qualified,,463735,107585,50.864265,-1.095722,47.03649902,187,28,1995,2023,29,1.8296541,6.11649902,0.59649902
1635,Old Hall Farm Pakenham,,http://environment.data.gov.uk/hydrology/id/measures/fa3d7f1d-2f83-47e9-a1a0-dbddffdb4fbf-gw-logged-i-subdaily-mAOD-qualified,592879,268751,52.283037,0.826234,42.98882675,165,18,1998,2018,21,1.745190386,2.80882675,1.07882675
1636,Southgrove Corner Chalk,http://environment.data.gov.uk/hydrology/id/measures/a402178b-2de9-4436-b51b-d2fb92296357_90125211-gw-dipped-i-mAOD-qualified,,422471,158851,51.328313,-1.678868,155.2036743,210,20,2002,2023,22,17.51664573,26.9736743,7.6136743
1637,Southgrove Corner Greensand,http://environment.data.gov.uk/hydrology/id/measures/a402178b-2de9-4436-b51b-d2fb92296357_91225210-gw-dipped-i-mAOD-qualified,,422472,158855,51.328349,-1.678853,155.2036743,210,20,2002,2023,22,21.98619811,27.0036743,15.6236743
1638,Roaring Gutter,http://environment.data.gov.uk/hydrology/id/measures/7a489cf7-3d04-4daa-9751-a1a18bfbe5d1-gw-dipped-i-mAOD-qualified,,635152,155598,51.251032,1.368353,0.914414048,243,40,1981,2023,43,1.010134213,1.714414048,0.164414048
1639,Abbey Dore,,http://environment.data.gov.uk/hydrology/id/measures/65d67f02-2867-4376-afb1-b63697b5d1b7-gw-logged-i-subdaily-mAOD-qualified,338398,230629,51.970696,-2.898126,88.28972626,7063,27,1994,2020,27,9.4461593,10.59141376,7.45344501
1640,Swallow Great Limber,http://environment.data.gov.uk/hydrology/id/measures/ec5fe401-6286-4c73-85cf-e263857366a1-gw-dipped-i-mAOD-qualified,,515985,406085,53.538602,-0.251306,62.30216217,522,44,1976,2023,48,37.76926945,46.94216217,24.91216217
1641,Donkeywell,http://environment.data.gov.uk/hydrology/id/measures/d5d8f0d9-ffb0-4678-8e5c-1149d1f8a2dc-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/d5d8f0d9-ffb0-4678-8e5c-1149d1f8a2dc-gw-logged-i-subdaily-mAOD-qualified,412762,203418,51.729329,-1.816613,121.4273376,9804,51,1973,2023,51,16.90789952,21.22650427,13.83442093
1642,Icknield Way Heydon,http://environment.data.gov.uk/hydrology/id/measures/6a43a012-be6b-45bb-84e8-f905ba583e9e-gw-dipped-i-mAOD-qualified,,541415,242207,52.060192,0.061335,56.64775467,226,24,1998,2023,26,27.73921485,35.54775467,15.39775467
1643,Alpheton,http://environment.data.gov.uk/hydrology/id/measures/d898703a-cbd5-4b7d-99ec-5450cb8f0cd3-gw-dipped-i-mAOD-qualified,,590300,250600,52.120944,0.778284,83.58647919,198,26,1979,2023,45,43.26870141,43.82647919,42.63647919
1644,Nib Heath The Meadows,,http://environment.data.gov.uk/hydrology/id/measures/2365f86a-328a-4c81-87d9-4ad9fb984989_26113-gw-logged-i-subdaily-mAOD-qualified,342035,318195,52.758228,-2.860351,79.48301697,6741,26,1993,2023,31,22.62805074,27.89249065,21.31301697
1647,Wash Common,http://environment.data.gov.uk/hydrology/id/measures/506c5443-4d61-45be-a59c-35039ef99771-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/506c5443-4d61-45be-a59c-35039ef99771-gw-logged-i-subdaily-mAOD-qualified,445410,164780,51.380257,-1.348902,125.4835892,6725,40,1983,2022,40,49.22575888,52.21925587,45.2735892
1648,Winterton Mere,http://environment.data.gov.uk/hydrology/id/measures/9f6cc4b4-8136-4662-8786-79d923fa281a-gw-dipped-i-mAOD-qualified,,493325,420065,53.668728,-0.588926,24.36832047,578,46,1974,2023,50,6.649791058,10.38832047,2.74832047
1649,Old Rectory Monk Sherborne,http://environment.data.gov.uk/hydrology/id/measures/26e31337-6c25-495e-a741-884a6ebbe876-gw-dipped-i-mAOD-qualified,,460865,156905,51.308012,-1.128204,90.67958069,167,43,1971,2016,46,9.413233385,13.38958069,4.01958069
1650,Totterdown,http://environment.data.gov.uk/hydrology/id/measures/1184cc5d-5b6d-4171-8e75-2cc7c994475a-gw-dipped-i-mAOD-qualified,,414445,171495,51.442261,-1.793548,224.2875824,449,44,1980,2023,44,79.27252672,87.3675824,68.7375824
1651,Hanthorpe,http://environment.data.gov.uk/hydrology/id/measures/5dd785c0-0969-4399-b36a-ad3cd663dc10-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/5dd785c0-0969-4399-b36a-ad3cd663dc10-gw-logged-i-subdaily-mAOD-qualified,507965,323865,52.801537,-0.399991,26.56052399,979,45,1971,2019,49,13.82653523,24.11052399,7.31052399
1652,Grange farm,http://environment.data.gov.uk/hydrology/id/measures/113e54d7-faa9-4416-9d2a-908fb17cf53f-gw-dipped-i-mAOD-qualified,,599263,274740,52.334534,0.923238,56.58312225,235,22,1998,2019,22,27.41027119,30.46312225,24.12312225
1653,Winslade Farm,http://environment.data.gov.uk/hydrology/id/measures/b8f08dd5-c101-4894-9c3e-adc278283f1a-gw-dipped-i-mAOD-qualified,,465665,148295,51.23007,-1.060931,124.6892624,604,57,1966,2023,58,35.31194452,39.8792624,28.6592624
1654,Hatton Heath,,http://environment.data.gov.uk/hydrology/id/measures/df2abac7-ed05-4101-bf43-c639e13e66c4-gw-logged-i-subdaily-mAOD-qualified,346163,361198,53.145181,-2.806349,27.9631443,8235,25,1998,2023,26,3.220868852,4.130477633,2.1940193
1655,Woldingham,http://environment.data.gov.uk/hydrology/id/measures/0f474755-177b-4ff1-9679-80165a7df488-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/0f474755-177b-4ff1-9679-80165a7df488-gw-logged-i-subdaily-mAOD-qualified,535222,156951,51.295633,-0.06193,110.9016418,7664,26,1998,2023,26,24.86136503,42.63360013,-0.0888582
1656,Shoreham Mill Hill,http://environment.data.gov.uk/hydrology/id/measures/a95a2d41-45cf-43ee-b91a-3092fa7ad98e-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/a95a2d41-45cf-43ee-b91a-3092fa7ad98e-gw-logged-i-subdaily-mAOD-qualified,521616,107233,50.851836,-0.273684,34.79604721,6180,48,1976,2023,48,32.19596774,35.39604721,26.69957846
1657,Lordship Farm,http://environment.data.gov.uk/hydrology/id/measures/c6721d0f-2de0-4989-be29-f01d7546afff-gw-dipped-i-mAOD-qualified,,528100,224000,51.899821,-0.139558,73.18401337,527,29,1995,2023,29,5.782836899,9.84401337,1.61401337
1658,Woodfold Bridge,http://environment.data.gov.uk/hydrology/id/measures/74f61bc1-7bc5-41ab-8cdd-84f91c05ccc5-gw-dipped-i-mAOD-qualified,,347605,436975,53.826373,-2.797469,10.91523361,297,31,1974,2019,46,1.156361556,5.95523361,-2.44476639
1659,Clarendon 5,http://environment.data.gov.uk/hydrology/id/measures/3bd5c16a-29c3-42bf-ac34-9c02bc0e3f8a-gw-dipped-i-mAOD-qualified,,416320,129765,51.066985,-1.768461,52.9793129,505,45,1978,2022,45,8.222045573,9.1493129,6.4493129
1660,Sandringham Way,http://environment.data.gov.uk/hydrology/id/measures/1abad553-cc6c-47e1-a34c-2335ef5aba18-gw-dipped-i-mAOD-qualified,,566579,327986,52.823652,0.470802,32.13711166,212,23,1998,2023,26,19.67885694,20.49711166,18.95711166
1661,St Marys Church Shrawley,http://environment.data.gov.uk/hydrology/id/measures/f07c9473-903d-4e28-bba6-3f4fab14619f-gw-dipped-i-mAOD-qualified,,380635,264765,52.280676,-2.285265,58.05082703,696,47,1974,2021,48,16.98916036,19.61082703,13.73082703
1662,Ivy Farm,http://environment.data.gov.uk/hydrology/id/measures/9d6f390a-0062-40e9-883c-958343dc8ce0-gw-dipped-i-mAOD-qualified,,430805,276665,52.387144,-1.548793,96.70162964,696,50,1971,2022,52,12.43042993,14.27162964,10.41162964
1663,Warlaby Nook,http://environment.data.gov.uk/hydrology/id/measures/c84410fa-4b84-4d5c-af92-5e173dfcf808-gw-dipped-i-mAOD-qualified,,435299,490365,54.307657,-1.458992,39.75876617,574,53,1970,2022,53,13.82942819,14.74876617,13.08876617
1664,Irstead gravel,http://environment.data.gov.uk/hydrology/id/measures/039c56e3-19c5-4090-a4ea-909690d90822-gw-dipped-i-mAOD-qualified,,637732,320410,52.729029,1.519457,0.753183663,271,25,1997,2022,26,0.264231633,1.033183663,-0.186816337
1665,Amersham Road,http://environment.data.gov.uk/hydrology/id/measures/6704c02f-1260-4814-bd92-287e731275c9-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/6704c02f-1260-4814-bd92-287e731275c9-gw-logged-i-subdaily-mAOD-qualified,499760,197580,51.668144,-0.558884,117.7981186,2885,32,1991,2023,33,40.21089144,42.72778527,35.6481186
1666,Little Grange Farm,http://environment.data.gov.uk/hydrology/id/measures/c15d3f87-66ae-4101-b1f3-17dd308f083c-gw-dipped-i-mAOD-qualified,,398505,340645,52.963158,-2.023697,175.1925812,663,40,1979,2018,40,9.009127203,18.9525812,5.3525812
1667,Crossley Hill,,http://environment.data.gov.uk/hydrology/id/measures/d00a85cf-2a4e-43c6-99c2-e852597ba5f4-gw-logged-i-subdaily-mAOD-qualified,460975,383765,53.34726,-1.085527,51.17589951,3883,52,1970,2023,54,25.42109245,26.52589951,23.20589951
1668,Hoe Farm,http://environment.data.gov.uk/hydrology/id/measures/e365cdbd-69a2-486c-9a93-e40d7ce2fbb8-gw-dipped-i-mAOD-qualified,,456845,117325,50.952559,-1.1921,54.53923798,324,29,1995,2023,29,18.46531823,22.48923798,14.34923798
