No,label,trend classification,aquifer,regions,Spatial heterogeneity_5km,Spatial heterogeneity_no station nearby5km,Population density_MSOA,Population density_5km circle averaged,Irrigation intensity,long-term average groundwater recharge
1680,Shutt Lane,Slow increasing,Unallocated to aquifers,Midlands,no station nearby,no station nearby,71.6,72.21743501,251,0.770687112
1681,Abbey Road,Slow increasing,Chalk,Southern,heterogeneous trends,heterogeneous trends,210.7,596.3915396,1001,0.959753107
1682,Westfield Farm,No trend,Chalk,North East,,,35.6,40.23913862,51,0.606493738
1684,Kellys Café,No trend,Triassic Sandstone,North East,,,104.9,92.2726456,251,0.460243582
1685,Tenantry Farm,Slow increasing,Chalk,South West,no station nearby,heterogeneous trends,78.7,88.84615727,51,1.001745632
1686,Tong Forge,Slow increasing,Triassic Sandstone,Midlands,heterogeneous trends,homogeneous trends,175.8,157.5562229,1001,0.562885973
1687,Waterdine,Slow decreasing,Triassic Sandstone,Midlands,homogeneous trends,homogeneous trends,227.5,114.1691807,101,0.607266673
1688,Bunces Farm,No trend,Chalk,Southern,,,90.7,594.1481702,251,0.286568114
1689,Marsh Farm,No trend,Chalk,Thames,,,7491.8,2651.680193,101,0.395098845
1690,Alre Gardens,No trend,Chalk,Southern,,,88.2,87.47982643,1,0.912322665
1691,Nightingale Close,Slow increasing,Magnesian Limestone,North East,heterogeneous trends,heterogeneous trends,221.6,1269.121681,251,0.364710149
1693,Preston Village,Slow decreasing,Chalk,Anglian,heterogeneous trends,homogeneous trends,91.7,410.9113019,251,0.416010277
1694,Mill Farm Oxton,Sudden downward change,Triassic Sandstone,Midlands,,,130.9,286.3259181,1001,0.33928207
1696,Fringford,No trend,Oolites,Thames,,,94.7,134.6922299,251,0.074659008
1697,Ormsgill,Slow increasing,Triassic Sandstone,North West,no station nearby,heterogeneous trends,1174.6,1185.332312,1,0.831039523
1698,Manor Farm East Dean,No trend,Chalk,Southern,,,45,73.89633277,1,1.058734739
1700,Stumblewood A,No trend,Corallian Limestone,Southern,,,67.5,105.5346043,1,1.087141578
1701,Stumblewood B,No trend,Corallian Limestone,Southern,,,67.5,105.9579922,1,1.087141578
1703,Down Cottages,No trend,Chalk,Thames,,,199.1,207.4233495,251,1.012775278
1705,Merstone Manor,No trend,Lower Greensand,Southern,,,376.6,263.3957555,251,0.876595869
1707,Clockhouse Farm,No trend,Chalk,Anglian,,,66.2,68.29985994,1001,0.08410269
1708,Theddlethorpe,No trend,Chalk,Anglian,,,115.1,108.02427,751,0.039069651
1709,Roosecote,Slow increasing,Triassic Sandstone,North West,no station nearby,heterogeneous trends,623.6,967.909667,1,1.449173382
1710,Winnall Lodge,Slow increasing,Triassic Sandstone,Midlands,homogeneous trends,homogeneous trends,159,227.3917813,251,0.430045797
1711,Lydden,Slow increasing,Chalk,Southern,heterogeneous trends,homogeneous trends,577.7,326.1338268,1001,0.983223686
1712,Crostwick Marsh,No trend,Chalk,Anglian,,,132.5,397.5849611,1001,0.421281718
1713,Stubbings,No trend,Chalk,Thames,,,167.8,944.7676076,251,0.571023778
1714,Palgrave Hall,Slow decreasing,Chalk,Anglian,heterogeneous trends,heterogeneous trends,46.4,77.6364118,1001,0.363361578
1715,White Lane Oakley,No trend,Chalk,Southern,,,99.4,181.4745177,1,0.861233095
1716,Cuffer Lane,Slow decreasing,Chalk,Anglian,heterogeneous trends,heterogeneous trends,82.1,121.8485575,5001,0.303050086
1717,The Laurels,No trend,Triassic Sandstone,Midlands,,,74.7,72.83286465,101,0.183037736
1718,Topcliffe Cranes,No trend,Triassic Sandstone,North East,,,70.7,60.72989426,251,0.438077365
1719,Burwell west,No trend,Chalk,Anglian,,,20.3,22.51102936,751,0.532093818
1720,Damgate Lane Acle,No trend,Crag,Anglian,,,95.2,114.6543589,1001,0.043440122
1722,Redbourne Village,No trend,Oolites,Anglian,,,88.1,67.52358219,1001,0.375318892
1723,Dial Farm,No trend,Chalk,Anglian,,,57.4,121.1765802,2501,0.10501842
1725,Burrow,No trend,Permian Sandstone,South West,,,113,269.9315932,51,0.903327035
1726,Boiling Wells South Rauceby,No trend,Oolites,Anglian,,,43.2,288.2825871,751,0.193103701
1727,Plantation House,No trend,Lower Greensand,Southern,,,90.7,196.7863589,251,0.6986562
1728,Itteringham,No trend,Chalk,Anglian,,,47.8,65.53610991,1001,0.595256729
1730,Forge Pool,Slow increasing,Unallocated to aquifers,Midlands,no station nearby,no station nearby,128.6,526.3401227,1001,0.546020777
1731,Little Wood,No trend,Chalk,Anglian,,,51.1,54.48866713,5001,0.377230331
1732,Langley Street,No trend,Chalk,Anglian,,,116,120.5434448,1001,0.045349743
1733,Rockley Cottage,No trend,Corallian Limestone,Thames,,,250.5,297.1851564,51,0.472731142
1734,Morton Pool,No trend,Triassic Sandstone,Midlands,,,64.3,148.4177793,251,0.425884537
1735,Penhallow,Slow increasing,Triassic Sandstone,Midlands,homogeneous trends,homogeneous trends,159,588.5098565,1001,0.592857763
1736,Leegate North,No trend,Triassic Sandstone,North West,,,88,58.28448127,1,0.976362916
1737,Chapel Wood,No trend,Chalk,Thames,,,53.7,62.69190431,51,0.717004675
1738,North Church,No trend,Chalk,Thames,,,165.5,370.2116659,101,0.669058138
1739,Great Everden Farm,Slow increasing,Chalk,Southern,heterogeneous trends,heterogeneous trends,210.7,378.0897645,1001,1.099465731
1740,Marden,Slow increasing,Unallocated to aquifers,Midlands,no station nearby,no station nearby,141.7,119.4667248,501,0.755117174
1741,Bryants Heath 3,No trend,Crag,Anglian,,,76.6,235.7499102,1001,0.511927009
1742,Breach Farm,Slow increasing,Chalk,Southern,heterogeneous trends,homogeneous trends,61,109.4571505,1,0.92370012
1743,Plex Moss,Slow increasing,Triassic Sandstone,North West,heterogeneous trends,heterogeneous trends,76.6,248.4012815,101,0.314626399
1744,Hawthorn Road Reepham,No trend,Oolites,Anglian,,,93.2,570.8215199,751,0.377273921
1745,Knaves Acre,No trend,Corallian Limestone,Southern,,,94.6,203.4193028,1,1.045891757
1746,HMS Mercury,No trend,Chalk,Southern,,,74,129.1239116,101,1.300065561
1747,Woolage Green,Slow increasing,Chalk,Southern,heterogeneous trends,heterogeneous trends,91,211.1018333,1001,0.825757455
1748,Green Farm,Slow decreasing,Chalk,Anglian,homogeneous trends,homogeneous trends,115.7,340.7169318,5001,0.344972041
1750,Gooderstone Warren,Slow decreasing,Chalk,Anglian,heterogeneous trends,heterogeneous trends,25.2,25.36481974,5001,0.430317472
1751,Stapleton Quarry,Slow increasing,Carboniferous Limestone,North East,heterogeneous trends,homogeneous trends,32,838.6310493,251,0.289742879
1752,Croucham,Slow increasing,Chalk,Southern,heterogeneous trends,heterogeneous trends,75.3,155.5978987,1001,0.87850477
1753,Parsonage Farm Bramdean,No trend,Chalk,Southern,,,88.2,92.59865365,1,1.25755272
1755,Ashby,No trend,Oolites,Anglian,,,61,79.50830491,751,0.278814623
1758,Croglin,Slow increasing,Carboniferous Limestone,North West,heterogeneous trends,heterogeneous trends,15.2,25.55369209,1,1.529998508
1759,Chilton Village Well,Slow increasing,Chalk,Thames,heterogeneous trends,homogeneous trends,147.8,234.9470548,251,0.546819186
1760,Hallidays farm,Slow decreasing,Triassic Sandstone,North West,heterogeneous trends,homogeneous trends,68.9,167.1540633,1,0.881816143
1761,Whitcombe Down,Slow increasing,Chalk,South West,no station nearby,heterogeneous trends,67.6,405.1269981,101,1.242901721
1762,Martins Fields,Slow increasing,Chalk,Southern,heterogeneous trends,homogeneous trends,176.6,649.2474607,1,0.989057583
1763,Stansted Airport,Slow increasing,Chalk,Thames,heterogeneous trends,homogeneous trends,212.4,251.2688951,101,0.103152951
1764,Wilderness Farm,No trend,Chalk,Thames,,,3615.8,1176.043483,501,0.967964025
1765,Seavegate Gill,Slow increasing,Triassic Sandstone,North East,no station nearby,no station nearby,65,324.2876328,751,0.621672359
1766,Widnes,Slow increasing,Triassic Sandstone,North West,heterogeneous trends,homogeneous trends,3572.2,1429.275002,101,0.490968317
1767,Ermine Street Appleby,No trend,Oolites,Anglian,,,94.6,151.2916726,1001,0.040097641
1768,Ingoldmells,No trend,Chalk,Anglian,,,171.1,381.899042,751,0.04485597
1770,Coploe Hill,Slow decreasing,Chalk,Anglian,homogeneous trends,homogeneous trends,81.2,103.1373331,5001,0.317088196
1771,Hedgesparrow Cottage,Slow decreasing,Chalk,Thames,homogeneous trends,homogeneous trends,113.8,307.3866533,101,0.838555092
1772,Tring Station,No trend,Chalk,Thames,,,193.8,277.2900714,101,0.514547001
1773,Ridgeway,Slow increasing,Chalk,South West,heterogeneous trends,heterogeneous trends,44.7,188.1225772,101,1.371551033
1774,Great Isle,No trend,Magnesian Limestone,North East,,,74.2,450.5744322,251,0.347863055
1775,Bank Farm Kenstone,Slow increasing,Triassic Sandstone,Midlands,homogeneous trends,homogeneous trends,56.6,58.57815924,1001,0.568092987
1776,Chidham Manor Farm,No trend,Chalk,Southern,,,361.2,336.448399,1001,0.387057194
1777,Hannington Wick,No trend,Oolites,Thames,,,133.6,162.0983382,251,0.061893024
1778,Branton Green,No trend,Triassic Sandstone,North East,,,55.3,69.06766559,251,0.34814378
1779,Wyevale,Slow increasing,Unallocated to aquifers,Midlands,no station nearby,no station nearby,66.2,550.0506484,501,0.321514311
1780,Gameslack,No trend,Chalk,North East,,,35.6,35.24018632,51,0.704861669
1781,Wrestlingworth Plantation,Sudden upward change,Lower Greensand,Anglian,,,130.1,161.9934573,5001,0.045172226
1782,Crawley,No trend,Chalk,Southern,,,240.3,140.3321308,1,0.913435774
1783,Downton Church,No trend,Chalk,South West,,,120,106.0939813,51,1.039212259
1785,Beechcroft Farm,No trend,Triassic Sandstone,North East,,,50.3,59.17440893,251,0.343454793
1787,Mapperton,Slow increasing,Lower Greensand,South West,heterogeneous trends,heterogeneous trends,42.5,60.58096044,101,0.633473885
1788,Dean Hill,No trend,Chalk,Southern,,,87.7,84.93206978,1,1.020354157
1789,Kiln Barn Well,No trend,Lower Greensand,Southern,,,994.9,1181.934229,251,0.505988558
1790,Fowlmere,No trend,Chalk,Anglian,,,154,149.7262845,5001,0.118151806
1791,Lancing College,No trend,Chalk,Southern,,,707.1,1358.719274,1,0.090514168
1792,Eagle Lane,Slow decreasing,Chalk,Anglian,homogeneous trends,homogeneous trends,80.8,168.7148678,5001,0.07054715
1793,Chilton East House,Slow increasing,Unallocated to aquifers,North East,no station nearby,no station nearby,394.2,385.7154858,251,0.376715992
1794,Grange de Lings,No trend,Oolites,Anglian,,,95.9,261.4504881,751,0.30848313
1795,Clowes Wood,No trend,Unallocated to aquifers,Midlands,,,76.4,81.33592406,1001,0.565771946
1796,Lacock,Slow increasing,Oolites,South West,homogeneous trends,homogeneous trends,338.4,631.7365845,51,0.798575878
1797,Weir Brook,No trend,Triassic Sandstone,Midlands,,,69.7,67.84407498,251,0.671288526
1798,Scantruck,No trend,Chalk,Anglian,,,2921.7,352.7188172,2501,0.067300542
1799,Rockcliffe,No trend,Triassic Sandstone,North West,,,16.1,129.9272894,1,0.693043021
1800,Manor Farm Crimplesham,Slow increasing,Lower Greensand,Anglian,no station nearby,no station nearby,48.8,174.9071928,5001,0.406703906
1803,North Somercotes,No trend,Chalk,Anglian,,,51.7,57.05948869,1001,0.025282801
1804,Moor Lane Reepham,No trend,Oolites,Anglian,,,93.2,134.2769779,751,0.263138738
1805,Minety Road,No trend,Oolites,Thames,,,116.2,111.5414277,251,0.073100057
1806,Bottom House farm,Slow increasing,Chalk,Thames,homogeneous trends,homogeneous trends,447.7,623.2665814,101,0.689650539
1809,Blakeley,No trend,Permian Sandstone,Midlands,,,70.1,71.26973418,1001,0.421494397
1810,Kirkburn,No trend,Chalk,North East,,,35.6,90.31944763,51,0.717135306
1811,Whitewebbs,Slow increasing,Chalk,Thames,no station nearby,homogeneous trends,554.7,2252.543519,101,0.055814052
1812,Briff Lane,No trend,Chalk,Thames,,,118,346.2659545,51,0.084482057
1813,Langton,No trend,Spilsby Sandstone,Anglian,,,20.3,25.2625662,751,0.590353218
1814,Primrose Hill,No trend,Triassic Sandstone,North West,,,372,165.7888936,1,0.937936832
1815,Laurel Farm,No trend,Chalk,Anglian,,,1251.7,580.9690114,2501,0.295439506
1816,Whitefriars,No trend,Oolites,Thames,,,116.2,118.6106593,251,0.223492001
1817,Woldingham Golf Club,Slow increasing,Chalk,Thames,heterogeneous trends,homogeneous trends,690.6,1000.238807,101,0.855812868
1819,Kings Coppice,Slow increasing,Unallocated to aquifers,North West,no station nearby,no station nearby,3078,1393.649001,101,0.595475628
1820,Danes Hill,No trend,Triassic Sandstone,Midlands,,,58.5,147.1341745,2501,0.407998898
1821,Lopcombe Corner,No trend,Chalk,Southern,,,87.7,66.48386924,1,0.911359271
1822,Castlethorpe Bridge Broughton,No trend,Oolites,Anglian,,,94.6,97.73974749,1001,0.374118169
1823,Castle Farm,No trend,Chalk,Anglian,,,182.3,179.4242307,2501,0.246678199
1824,Stamford Newstead,No trend,Oolites,Anglian,,,73.2,340.2573898,101,0.028894371
1825,Great Milton,Slow decreasing,Corallian Limestone,Thames,no station nearby,no station nearby,120.3,119.689723,51,0.066971265
1826,Ellesmere Port,Slow increasing,Triassic Sandstone,North West,heterogeneous trends,homogeneous trends,4472.1,1053.816047,101,0.40307569
1827,Pashley Farm,No trend,Corallian Limestone,Southern,,,114.7,109.1490641,501,0.98817148
1828,Caves Farm Chatley,Slow decreasing,Triassic Sandstone,Midlands,homogeneous trends,homogeneous trends,159,596.1772516,1001,0.097985215
1829,Greenbank,Slow decreasing,Crag,Anglian,no station nearby,no station nearby,53.2,164.4472939,1001,0.23538917
1830,Peplow Mill,No trend,Permian Sandstone,Midlands,,,70.1,72.14889932,1001,0.602589183
1831,Fairfield Nursery,No trend,Lower Greensand,Anglian,,,1854.8,466.1033375,251,0.250331046
1832,Highmoor,No trend,Chalk,Thames,,,104,134.5972932,251,0.673022387
1833,Highfield Farm,Slow decreasing,Chalk,Anglian,heterogeneous trends,homogeneous trends,95.9,280.0962829,5001,0.342739498
1834,Broome,Sudden upward change,Unallocated to aquifers,Midlands,,,128.6,391.6030895,1001,0.487636571
1835,Broome House,No trend,Unallocated to aquifers,Midlands,,,128.6,382.5919135,1001,0.487636571
1836,Climping Ryebank,No trend,Chalk,Southern,,,416.3,1205.405839,1001,0.720720654
1837,Frizzlers Green,Slow decreasing,Lower Greensand,Anglian,heterogeneous trends,heterogeneous trends,60.2,69.74992487,5001,0.072649763
1838,Great Thurlow,Slow increasing,Lower Greensand,Anglian,no station nearby,heterogeneous trends,75.3,313.074936,1001,0.064762436
1839,Red House Farm,No trend,Chalk,Anglian,,,57.4,62.11344569,2501,0.320141666
1840,Whitewool Farm,Slow increasing,Chalk,Southern,heterogeneous trends,heterogeneous trends,74,83.57117878,101,1.268705025
1841,Whitwell Common,No trend,Chalk,Anglian,,,55,60.26367284,1001,0.285301737
1842,Cow Common,Slow increasing,Chalk,Thames,homogeneous trends,homogeneous trends,128.4,125.8943728,251,0.435312586
1843,St Marys Farm,Slow increasing,Chalk,Southern,homogeneous trends,homogeneous trends,87.1,752.9222481,1,1.079856193
1844,Poynatts Manor,No trend,Chalk,Thames,,,74.8,149.1531879,251,0.751998953
1845,Ashmore,Slow decreasing,Lower Greensand,South West,homogeneous trends,homogeneous trends,69.9,64.25033656,101,1.202847857
1846,Radley Crossroads,No trend,Chalk,Thames,,,48.8,92.0422958,51,0.761985749
1847,Newhall,Sudden upward change,Triassic Sandstone,Midlands,,,87.7,147.0904201,1001,0.573182371
1848,Orcheston Down,Slow increasing,Chalk,South West,heterogeneous trends,homogeneous trends,78.9,69.7235488,51,1.002041192
1849,Hill Farm,No trend,Crag,Anglian,,,64.3,82.35460856,1001,0.274534304
1850,Drill Hall Adastral,Slow decreasing,Chalk,Anglian,heterogeneous trends,heterogeneous trends,289.7,138.876759,5001,0.519827532
1851,Dale Plantation,No trend,Triassic Sandstone,North East,,,73.5,96.50022017,51,0.587783466
1852,Liverpool Victoria,Slow increasing,Chalk,Thames,homogeneous trends,homogeneous trends,5469.8,11879.4907,251,0.156511164
1853,Elm Tree House,No trend,Corallian Limestone,Thames,,,74.6,118.5264337,51,0.060294418
1854,Scarning Fen,No trend,Chalk,Anglian,,,111.4,310.7264682,1001,0.560616573
1855,Sawston Road,No trend,Chalk,Anglian,,,109,230.7007104,5001,0.261309535
1856,High Eggborough,Slow increasing,Triassic Sandstone,North East,homogeneous trends,homogeneous trends,78.7,90.88160738,51,0.372623299
1857,Overy Cottages,No trend,Chalk,Anglian,,,82.1,65.4812984,5001,0.420823316
1858,Steyning Jarvis Well,No trend,Chalk,Southern,,,282,338.4660401,1,0.168712137
1859,Forton Heath,No trend,Unallocated to aquifers,Midlands,,,55,62.16069761,1001,0.368597482
1861,Halland Godfrey Cottage,No trend,Corallian Limestone,Southern,,,78.4,108.1917118,1,0.935222602
1862,Hurcott,Sudden upward change,Unallocated to aquifers,Midlands,,,128.6,774.9023213,1001,0.426926504
1863,Hurcott Car Park,Sudden upward change,Unallocated to aquifers,Midlands,,,128.6,818.031269,1001,0.426926504
1864,Glaven Bridge,No trend,Chalk,Anglian,,,39.5,71.6673022,5001,0.250346076
1865,Coploe Road,Slow decreasing,Chalk,Anglian,homogeneous trends,homogeneous trends,109,103.1110878,5001,0.265947111
1866,Mimram 9,No trend,Chalk,Thames,,,696.1,867.5778561,101,0.48658774
1867,Kirkby in Ashfield,No trend,Carboniferous Limestone,Midlands,,,696.4,1117.797127,1001,0.155621143
1868,Faulkners Bottom,Slow decreasing,Chalk,Southern,homogeneous trends,homogeneous trends,87.1,363.2694202,1,1.156232675
1869,Teddington,No trend,Lower Greensand,Thames,,,2951.5,4102.804651,251,0.399750962
1871,Walderton Pitlands Farm,No trend,Chalk,Southern,,,93.2,88.87112896,1001,0.933448906
1872,Jane Austens House,No trend,Chalk,Thames,,,116.8,318.1985187,501,1.073640664
1873,Oddo House,No trend,Carboniferous Limestone,Midlands,,,179.9,92.04760844,1,1.698210829
1874,Westwood,Slow increasing,Chalk,North East,heterogeneous trends,homogeneous trends,240.6,484.2547322,51,0.570245295
1875,Balmer Down,Slow decreasing,Chalk,Southern,homogeneous trends,homogeneous trends,87.1,529.1863088,1,1.193369468
1876,Rare Breeds Farm,No trend,Chalk,South West,,,56.1,163.6386504,51,0.72897133
1877,Adder Bottom,No trend,Chalk,Southern,,,126.5,1000.675133,1,1.16093991
1878,Ashley Village,No trend,Chalk,Southern,,,45,104.105716,1,0.881177793
1879,Crabbe Castle Farm,No trend,Chalk,Anglian,,,42,38.91403323,5001,0.462240558
1880,Old Hat,No trend,Chalk,Thames,,,48.8,55.53962487,51,0.085737322
1881,Martinscroft,No trend,Triassic Sandstone,North West,,,763.3,1352.860325,101,0.412575742
1882,Druce,No trend,Corallian Limestone,South West,,,44.7,45.86190385,101,0.565470778
1883,West House,Slow increasing,Magnesian Limestone,North East,no station nearby,heterogeneous trends,347.1,268.0105553,251,0.297864487
1884,Gatewarth,Slow increasing,Triassic Sandstone,North West,heterogeneous trends,heterogeneous trends,1765.2,1721.169789,101,0.0848083
1885,Bishops Wood,No trend,Triassic Sandstone,Midlands,,,113.1,288.3810205,1001,0.453157968
1886,Lagness,No trend,Chalk,Southern,,,901.6,1082.891781,1001,0.083325167
1887,Laverton 2,Slow increasing,Carboniferous Limestone,South West,no station nearby,heterogeneous trends,64.5,138.4320668,51,0.12723129
1888,Knowlton Dower House,Slow decreasing,Lower Greensand,Southern,heterogeneous trends,heterogeneous trends,110.3,229.2645657,1001,0.364914026
1889,Deep Spinney,No trend,Oolites,Anglian,,,949.7,1325.914262,251,0.164885058
1890,Little Orchard,Slow decreasing,Chalk,Southern,heterogeneous trends,heterogeneous trends,90.7,91.27485027,251,0.847005636
1891,Gade 6,No trend,Chalk,Thames,,,4900,1466.244226,101,0.605229191
1892,Gamston,No trend,Triassic Sandstone,Midlands,,,59.3,231.3441188,2501,0.394900383
1893,Bowmoor,No trend,Oolites,Thames,,,141.4,131.6118668,251,0.57172082
1894,Whitwick,Slow decreasing,Triassic Sandstone,Midlands,no station nearby,homogeneous trends,1247,614.281129,101,0.431789874
1895,High Up Farm,Slow increasing,Unallocated to aquifers,Midlands,no station nearby,no station nearby,1897.7,246.943788,51,0.794165364
1896,Venson Farm,Slow increasing,Lower Greensand,Southern,homogeneous trends,homogeneous trends,108.4,231.5642064,1001,0.654988352
1897,Upper Trinity,Slow increasing,Triassic Sandstone,Midlands,heterogeneous trends,heterogeneous trends,7805,5764.835856,501,0.071525596
1898,Penton Corner,No trend,Chalk,Southern,,,327.7,528.9057529,1,0.836432354
1900,Bentley Bridge,No trend,Triassic Sandstone,North West,,,205.5,245.496942,1,0.721638654
1901,Haymans Farm,Slow decreasing,Triassic Sandstone,North West,heterogeneous trends,homogeneous trends,50,413.5004823,101,0.955013684
1902,Saxby,No trend,Oolites,Anglian,,,31.9,52.99518779,1001,0.361470578
1903,Clapham Wood,No trend,Chalk,Southern,,,122.7,1243.822183,1001,0.859774939
1904,Leechmore Cross,Slow increasing,Lower Greensand,Southern,homogeneous trends,homogeneous trends,75.9,157.7313167,251,0.75709205
1906,Quarry Farm,No trend,Triassic Sandstone,Midlands,,,56.6,58.98880844,1001,0.495279095
1907,Wick Down,No trend,Chalk,Thames,,,36.5,77.2836682,51,1.017525638
1908,Grange Farm Pimhill,Slow decreasing,Permian Sandstone,Midlands,heterogeneous trends,homogeneous trends,55,145.2309665,251,0.340862109
1909,Pack Lane Kempshott,Slow increasing,Chalk,Thames,heterogeneous trends,homogeneous trends,2336.4,1244.654523,251,0.811193905
1910,Oakhill,No trend,Unallocated to aquifers,South West,,,59.7,149.5470974,51,0.951364638
1911,Ringmere,No trend,Chalk,Anglian,,,51.1,99.19762096,5001,0.438557005
1912,Branstone Cross,Slow increasing,Lower Greensand,Southern,homogeneous trends,homogeneous trends,401.7,438.0708076,251,0.814890025
1913,Speke,Slow increasing,Triassic Sandstone,North West,homogeneous trends,homogeneous trends,2587.1,2583.208364,101,0.496630989
1914,Abbots Farm,Slow decreasing,Chalk,Anglian,heterogeneous trends,homogeneous trends,60.2,71.19862091,5001,0.064920798
1915,Forest Farm White Post,No trend,Triassic Sandstone,Midlands,,,87.7,199.7401517,1001,0.478624351
1916,Kynock Press,Slow increasing,Triassic Sandstone,Midlands,heterogeneous trends,heterogeneous trends,3050.6,5240.856285,501,0.634203588
1918,Tolpuddle Ball,Slow increasing,Corallian Limestone,South West,heterogeneous trends,heterogeneous trends,44.7,60.25716703,101,1.170675906
1919,Knolls,No trend,Unallocated to aquifers,Midlands,,,55,55.79083899,1001,0.683267009
1920,Knolls 2,No trend,Unallocated to aquifers,Midlands,,,55,55.43851469,1001,0.683267009
1921,Oxtalls Farm,No trend,Oolites,Thames,,,92.6,192.0542417,251,1.001397867
1922,Marsh Benham,No trend,Chalk,Thames,,,48.8,232.6308766,51,0.314291031
1923,Jubilee Lodge,Slow decreasing,Chalk,Anglian,heterogeneous trends,heterogeneous trends,51.1,276.1180423,5001,0.398934616
1924,Shottesbrooke Park,No trend,Chalk,Thames,,,167.8,531.2494858,251,0.529766826
1925,Kenyon Lane,Slow increasing,Permian Sandstone,North West,homogeneous trends,homogeneous trends,1345.8,1129.796643,101,0.563347289
1926,Springwell,Sudden upward change,Fell Sandstone& Border Group,North East,,,466.4,2031.66622,1,0.49727926
1927,Woods Copse Forest Side,No trend,Chalk,Southern,,,93.2,383.3150305,101,1.042003221
1928,Twydales Nafferton,No trend,Chalk,North East,,,121.3,165.4006873,51,0.505568449
1929,Berden Hall,No trend,Chalk,Thames,,,212.4,157.9061975,101,0.358364703
1930,Wykeham 2,No trend,Corallian Limestone,North East,,,65,77.46583854,751,0.525341876
1931,Sutton Scotney,No trend,Chalk,Southern,,,76.5,75.46708829,1,0.820900793
1932,Thelveton Hall,No trend,Lower Greensand,Anglian,,,67.1,144.8057044,1001,0.20928462
1933,Hazely Down Farm,Slow increasing,Chalk,Southern,heterogeneous trends,homogeneous trends,159.3,391.6313045,1,0.982702917
1936,Swarraton,No trend,Chalk,Southern,,,85,79.66336867,1,0.958825789
1937,Ashill,No trend,Triassic Sandstone,South West,,,82,79.39084546,51,1.125796925
1938,Bircham Newton,Slow decreasing,Chalk,Anglian,heterogeneous trends,heterogeneous trends,26.5,44.73743506,1001,0.47820811
1940,Wintershill Chalk,Slow increasing,Chalk,Southern,heterogeneous trends,homogeneous trends,438.8,393.5306886,101,0.122664114
1941,Bartlow junction,Slow decreasing,Chalk,Anglian,heterogeneous trends,homogeneous trends,76.5,84.07246244,5001,0.277019
1942,Layton House,Slow increasing,Magnesian Limestone,North East,heterogeneous trends,homogeneous trends,74.2,107.0522046,251,0.34193828
1943,Lower Hare Park,Slow decreasing,Chalk,Anglian,heterogeneous trends,homogeneous trends,74.5,137.1639271,5001,0.267200204
1946,Keelby,No trend,Chalk,Anglian,,,43.5,125.6112458,1001,0.43838227
1947,Winterbourne Houghton,Slow increasing,Chalk,South West,heterogeneous trends,heterogeneous trends,46.5,49.62500127,101,1.324739608
1948,Norton Top,No trend,Chalk,Southern,,,115.7,480.1515017,1,0.81686409
1949,Filston Farm,No trend,Lower Greensand,Southern,,,267.2,445.9137625,1,0.615663793
1950,Watch Hill,Slow decreasing,Triassic Sandstone,Midlands,heterogeneous trends,heterogeneous trends,87.7,300.8568062,2501,0.499981992
1951,The Spinney,No trend,Chalk,Anglian,,,888.1,1185.88549,1001,0.491306425
1952,Hixham Hall,No trend,Chalk,Thames,,,175.8,192.302946,101,0.106031811
1953,Upper Bevendean,No trend,Chalk,Southern,,,1158.7,2154.016953,1,0.843160492
1954,Baydon Hole,No trend,Chalk,Thames,,,62,59.95205823,51,0.926725116
1955,Stonehouse,No trend,Permian Sandstone,Midlands,,,56.6,71.19730999,1001,0.228916203
1956,Roud,No trend,Lower Greensand,Southern,,,75.9,169.4790957,251,0.75709205
1957,Coleby,No trend,Oolites,Anglian,,,56.8,137.1023227,751,0.274050195
1959,Chells Manor,No trend,Chalk,Thames,,,4976.4,1235.712046,101,0.469346453
1960,Monkton Farleigh,Slow increasing,Oolites,South West,heterogeneous trends,homogeneous trends,149,355.2173557,51,0.113481629
1961,Little Bradley,No trend,Chalk,Anglian,,,75.3,81.87849239,1001,0.088557112
1962,Lower Austin Lodge,No trend,Chalk,Southern,,,195.1,319.8147828,1,0.602623581
1963,Lodge Farm Thelnetham,No trend,Chalk,Anglian,,,102.3,80.19675842,5001,0.282394229
1964,White Gates Farm,No trend,Chalk,Southern,,,255.2,1077.042372,251,0.290712255
1965,Bridge Cottage,No trend,Chalk,Southern,,,84.9,121.0873187,1,0.886917397
1966,Frankbrook,No trend,Unallocated to aquifers,Midlands,,,53.8,55.17433542,1001,0.374659501
1967,Frankbrook,No trend,Unallocated to aquifers,Midlands,,,53.8,55.15803036,1001,0.374659501
1968,Thornton Hough,Slow increasing,Triassic Sandstone,North West,heterogeneous trends,homogeneous trends,318.6,1052.035285,101,0.570922358
1969,Halling,No trend,Chalk,Southern,,,435.9,1007.414651,251,0.557336219
1970,Glebelands,No trend,Triassic Sandstone,North East,,,104.9,93.44471789,251,0.460243582
1971,Illington Belt,Slow decreasing,Chalk,Anglian,heterogeneous trends,heterogeneous trends,65.6,58.90578601,5001,0.400519053
1972,Shefford Woodlands,No trend,Chalk,Thames,,,62,77.87529999,51,0.854693134
1973,Silverlake Farm,Slow increasing,Triassic Sandstone,South West,heterogeneous trends,heterogeneous trends,52.2,276.9595875,51,0.093617765
1974,Hagley Treherns Farm,No trend,Unallocated to aquifers,Midlands,,,2195.1,1223.250903,1001,0.52289356
1975,Rodbridge Corner,No trend,Chalk,Anglian,,,222.2,286.1306258,1001,0.302450735
